Property;Induced;Confidence;T;GoldStandard;Same;MoreSpecific;LessSpecific
complexity;Food;3;1.0;Food;1;0;0
complexity;Food;3;0.9;Food;1;0;0
complexity;Food;3;0.8;Food;1;0;0
complexity;Food;3;0.7;Food;1;0;0
complexity;Food;3;0.6;Food;1;0;0
complexity;Food;3;0.5;Food;1;0;0
complexity;Food;3;0.4;Food;1;0;0
complexity;Food;3;0.3;Food;1;0;0
complexity;Food;3;0.2;Food;1;0;0
complexity;Food;3;0.1;Food;1;0;0
lastFlightEndDate;SpaceShuttle;7;1.0;SpaceShuttle;1;0;0
lastFlightEndDate;MeanOfTransportation;7;1.0;SpaceShuttle;0;0;1
lastFlightEndDate;SpaceShuttle;7;0.9;SpaceShuttle;1;0;0
lastFlightEndDate;MeanOfTransportation;7;0.9;SpaceShuttle;0;0;1
lastFlightEndDate;SpaceShuttle;7;0.8;SpaceShuttle;1;0;0
lastFlightEndDate;MeanOfTransportation;7;0.8;SpaceShuttle;0;0;1
lastFlightEndDate;SpaceShuttle;7;0.7;SpaceShuttle;1;0;0
lastFlightEndDate;MeanOfTransportation;7;0.7;SpaceShuttle;0;0;1
lastFlightEndDate;SpaceShuttle;7;0.6;SpaceShuttle;1;0;0
lastFlightEndDate;MeanOfTransportation;7;0.6;SpaceShuttle;0;0;1
lastFlightEndDate;SpaceShuttle;7;0.5;SpaceShuttle;1;0;0
lastFlightEndDate;MeanOfTransportation;7;0.5;SpaceShuttle;0;0;1
lastFlightEndDate;SpaceShuttle;7;0.4;SpaceShuttle;1;0;0
lastFlightEndDate;MeanOfTransportation;7;0.4;SpaceShuttle;0;0;1
lastFlightEndDate;SpaceShuttle;7;0.3;SpaceShuttle;1;0;0
lastFlightEndDate;MeanOfTransportation;7;0.3;SpaceShuttle;0;0;1
lastFlightEndDate;SpaceShuttle;7;0.2;SpaceShuttle;1;0;0
lastFlightEndDate;MeanOfTransportation;7;0.2;SpaceShuttle;0;0;1
lastFlightEndDate;SpaceShuttle;7;0.1;SpaceShuttle;1;0;0
lastFlightEndDate;MeanOfTransportation;7;0.1;SpaceShuttle;0;0;1
PopulatedPlace--populationMetroDensity;Settlement;233;1.0;PopulatedPlace;0;1;0
PopulatedPlace--populationMetroDensity;Place;233;1.0;PopulatedPlace;0;0;1
PopulatedPlace--populationMetroDensity;PopulatedPlace;233;1.0;PopulatedPlace;1;0;0
PopulatedPlace--populationMetroDensity;Settlement;233;0.9;PopulatedPlace;0;1;0
PopulatedPlace--populationMetroDensity;Place;233;0.9;PopulatedPlace;0;0;1
PopulatedPlace--populationMetroDensity;PopulatedPlace;233;0.9;PopulatedPlace;1;0;0
PopulatedPlace--populationMetroDensity;Settlement;233;0.8;PopulatedPlace;0;1;0
PopulatedPlace--populationMetroDensity;Place;233;0.8;PopulatedPlace;0;0;1
PopulatedPlace--populationMetroDensity;PopulatedPlace;233;0.8;PopulatedPlace;1;0;0
PopulatedPlace--populationMetroDensity;Settlement;233;0.7;PopulatedPlace;0;1;0
PopulatedPlace--populationMetroDensity;Place;233;0.7;PopulatedPlace;0;0;1
PopulatedPlace--populationMetroDensity;PopulatedPlace;233;0.7;PopulatedPlace;1;0;0
PopulatedPlace--populationMetroDensity;Settlement;233;0.6;PopulatedPlace;0;1;0
PopulatedPlace--populationMetroDensity;Place;233;0.6;PopulatedPlace;0;0;1
PopulatedPlace--populationMetroDensity;PopulatedPlace;233;0.6;PopulatedPlace;1;0;0
