Property;Induced;Confidence;T;GoldStandard;Same;MoreSpecific;LessSpecific
maximumDepth;http://www.w3.org/2001/XMLSchema#double;3728;0.1;http://www.w3.org/2001/XMLSchema#double;1;0;0
aSide;http://www.w3.org/2001/XMLSchema#string;2889;1.0;http://www.w3.org/2001/XMLSchema#string;1;0;0
aSide;http://www.w3.org/2001/XMLSchema#string;2889;0.9;http://www.w3.org/2001/XMLSchema#string;1;0;0
aSide;http://www.w3.org/2001/XMLSchema#string;2889;0.8;http://www.w3.org/2001/XMLSchema#string;1;0;0
aSide;http://www.w3.org/2001/XMLSchema#string;2889;0.7;http://www.w3.org/2001/XMLSchema#string;1;0;0
aSide;http://www.w3.org/2001/XMLSchema#string;2889;0.6;http://www.w3.org/2001/XMLSchema#string;1;0;0
aSide;http://www.w3.org/2001/XMLSchema#string;2889;0.5;http://www.w3.org/2001/XMLSchema#string;1;0;0
aSide;http://www.w3.org/2001/XMLSchema#string;2889;0.4;http://www.w3.org/2001/XMLSchema#string;1;0;0
aSide;http://www.w3.org/2001/XMLSchema#string;2889;0.3;http://www.w3.org/2001/XMLSchema#string;1;0;0
aSide;http://www.w3.org/2001/XMLSchema#string;2889;0.2;http://www.w3.org/2001/XMLSchema#string;1;0;0
aSide;http://www.w3.org/2001/XMLSchema#string;2889;0.1;http://www.w3.org/2001/XMLSchema#string;1;0;0
dissolutionDate;http://www.w3.org/2001/XMLSchema#date;1003;1.0;http://www.w3.org/2001/XMLSchema#date;1;0;0
dissolutionDate;http://www.w3.org/2001/XMLSchema#date;1003;0.9;http://www.w3.org/2001/XMLSchema#date;1;0;0
dissolutionDate;http://www.w3.org/2001/XMLSchema#date;1003;0.8;http://www.w3.org/2001/XMLSchema#date;1;0;0
dissolutionDate;http://www.w3.org/2001/XMLSchema#date;1003;0.7;http://www.w3.org/2001/XMLSchema#date;1;0;0
dissolutionDate;http://www.w3.org/2001/XMLSchema#date;1003;0.6;http://www.w3.org/2001/XMLSchema#date;1;0;0
dissolutionDate;http://www.w3.org/2001/XMLSchema#date;1003;0.5;http://www.w3.org/2001/XMLSchema#date;1;0;0
dissolutionDate;http://www.w3.org/2001/XMLSchema#date;1003;0.4;http://www.w3.org/2001/XMLSchema#date;1;0;0
dissolutionDate;http://www.w3.org/2001/XMLSchema#date;1003;0.3;http://www.w3.org/2001/XMLSchema#date;1;0;0
dissolutionDate;http://www.w3.org/2001/XMLSchema#date;1003;0.2;http://www.w3.org/2001/XMLSchema#date;1;0;0
dissolutionDate;http://www.w3.org/2001/XMLSchema#date;1003;0.1;http://www.w3.org/2001/XMLSchema#date;1;0;0
currentlyUsedFor;http://www.w3.org/2001/XMLSchema#string;147;1.0;http://www.w3.org/2001/XMLSchema#string;1;0;0
currentlyUsedFor;http://www.w3.org/2001/XMLSchema#string;147;0.9;http://www.w3.org/2001/XMLSchema#string;1;0;0
currentlyUsedFor;http://www.w3.org/2001/XMLSchema#string;147;0.8;http://www.w3.org/2001/XMLSchema#string;1;0;0
currentlyUsedFor;http://www.w3.org/2001/XMLSchema#string;147;0.7;http://www.w3.org/2001/XMLSchema#string;1;0;0
currentlyUsedFor;http://www.w3.org/2001/XMLSchema#string;147;0.6;http://www.w3.org/2001/XMLSchema#string;1;0;0
currentlyUsedFor;http://www.w3.org/2001/XMLSchema#string;147;0.5;http://www.w3.org/2001/XMLSchema#string;1;0;0
currentlyUsedFor;http://www.w3.org/2001/XMLSchema#string;147;0.4;http://www.w3.org/2001/XMLSchema#string;1;0;0
currentlyUsedFor;http://www.w3.org/2001/XMLSchema#string;147;0.3;http://www.w3.org/2001/XMLSchema#string;1;0;0
currentlyUsedFor;http://www.w3.org/2001/XMLSchema#string;147;0.2;http://www.w3.org/2001/XMLSchema#string;1;0;0
currentlyUsedFor;http://www.w3.org/2001/XMLSchema#string;147;0.1;http://www.w3.org/2001/XMLSchema#string;1;0;0
numberOfStaff;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;745;1.0;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
numberOfStaff;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;745;0.9;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
numberOfStaff;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;745;0.8;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
numberOfStaff;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;745;0.7;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
numberOfStaff;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;745;0.6;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
numberOfStaff;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;745;0.5;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
numberOfStaff;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;745;0.4;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
numberOfStaff;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;745;0.3;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
numberOfStaff;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;745;0.2;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
numberOfStaff;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;745;0.1;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
agencyStationCode;http://www.w3.org/2001/XMLSchema#string;8178;1.0;http://www.w3.org/2001/XMLSchema#string;1;0;0
agencyStationCode;http://www.w3.org/2001/XMLSchema#string;8178;0.9;http://www.w3.org/2001/XMLSchema#string;1;0;0
agencyStationCode;http://www.w3.org/2001/XMLSchema#string;8178;0.8;http://www.w3.org/2001/XMLSchema#string;1;0;0
agencyStationCode;http://www.w3.org/2001/XMLSchema#string;8178;0.7;http://www.w3.org/2001/XMLSchema#string;1;0;0
agencyStationCode;http://www.w3.org/2001/XMLSchema#string;8178;0.6;http://www.w3.org/2001/XMLSchema#string;1;0;0
agencyStationCode;http://www.w3.org/2001/XMLSchema#string;8178;0.5;http://www.w3.org/2001/XMLSchema#string;1;0;0
agencyStationCode;http://www.w3.org/2001/XMLSchema#string;8178;0.4;http://www.w3.org/2001/XMLSchema#string;1;0;0
agencyStationCode;http://www.w3.org/2001/XMLSchema#string;8178;0.3;http://www.w3.org/2001/XMLSchema#string;1;0;0
agencyStationCode;http://www.w3.org/2001/XMLSchema#string;8178;0.2;http://www.w3.org/2001/XMLSchema#string;1;0;0
agencyStationCode;http://www.w3.org/2001/XMLSchema#string;8178;0.1;http://www.w3.org/2001/XMLSchema#string;1;0;0
modelStartYear;http://www.w3.org/2001/XMLSchema#gYear;1316;1.0;http://www.w3.org/2001/XMLSchema#gYear;1;0;0
modelStartYear;http://www.w3.org/2001/XMLSchema#gYear;1316;0.9;http://www.w3.org/2001/XMLSchema#gYear;1;0;0
modelStartYear;http://www.w3.org/2001/XMLSchema#gYear;1316;0.8;http://www.w3.org/2001/XMLSchema#gYear;1;0;0
modelStartYear;http://www.w3.org/2001/XMLSchema#gYear;1316;0.7;http://www.w3.org/2001/XMLSchema#gYear;1;0;0
modelStartYear;http://www.w3.org/2001/XMLSchema#gYear;1316;0.6;http://www.w3.org/2001/XMLSchema#gYear;1;0;0
modelStartYear;http://www.w3.org/2001/XMLSchema#gYear;1316;0.5;http://www.w3.org/2001/XMLSchema#gYear;1;0;0
modelStartYear;http://www.w3.org/2001/XMLSchema#gYear;1316;0.4;http://www.w3.org/2001/XMLSchema#gYear;1;0;0
modelStartYear;http://www.w3.org/2001/XMLSchema#gYear;1316;0.3;http://www.w3.org/2001/XMLSchema#gYear;1;0;0
modelStartYear;http://www.w3.org/2001/XMLSchema#gYear;1316;0.2;http://www.w3.org/2001/XMLSchema#gYear;1;0;0
modelStartYear;http://www.w3.org/2001/XMLSchema#gYear;1316;0.1;http://www.w3.org/2001/XMLSchema#gYear;1;0;0
acquirementDate;http://www.w3.org/2001/XMLSchema#date;5207;1.0;http://www.w3.org/2001/XMLSchema#date;1;0;0
acquirementDate;http://www.w3.org/2001/XMLSchema#date;5207;0.9;http://www.w3.org/2001/XMLSchema#date;1;0;0
acquirementDate;http://www.w3.org/2001/XMLSchema#date;5207;0.8;http://www.w3.org/2001/XMLSchema#date;1;0;0
acquirementDate;http://www.w3.org/2001/XMLSchema#date;5207;0.7;http://www.w3.org/2001/XMLSchema#date;1;0;0
acquirementDate;http://www.w3.org/2001/XMLSchema#date;5207;0.6;http://www.w3.org/2001/XMLSchema#date;1;0;0
acquirementDate;http://www.w3.org/2001/XMLSchema#date;5207;0.5;http://www.w3.org/2001/XMLSchema#date;1;0;0
acquirementDate;http://www.w3.org/2001/XMLSchema#date;5207;0.4;http://www.w3.org/2001/XMLSchema#date;1;0;0
acquirementDate;http://www.w3.org/2001/XMLSchema#date;5207;0.3;http://www.w3.org/2001/XMLSchema#date;1;0;0
acquirementDate;http://www.w3.org/2001/XMLSchema#date;5207;0.2;http://www.w3.org/2001/XMLSchema#date;1;0;0
acquirementDate;http://www.w3.org/2001/XMLSchema#date;5207;0.1;http://www.w3.org/2001/XMLSchema#date;1;0;0
firstPublicationDate;http://www.w3.org/2001/XMLSchema#date;1951;1.0;http://www.w3.org/2001/XMLSchema#date;1;0;0
firstPublicationDate;http://www.w3.org/2001/XMLSchema#date;1951;0.9;http://www.w3.org/2001/XMLSchema#date;1;0;0
firstPublicationDate;http://www.w3.org/2001/XMLSchema#date;1951;0.8;http://www.w3.org/2001/XMLSchema#date;1;0;0
firstPublicationDate;http://www.w3.org/2001/XMLSchema#date;1951;0.7;http://www.w3.org/2001/XMLSchema#date;1;0;0
firstPublicationDate;http://www.w3.org/2001/XMLSchema#date;1951;0.6;http://www.w3.org/2001/XMLSchema#date;1;0;0
firstPublicationDate;http://www.w3.org/2001/XMLSchema#date;1951;0.5;http://www.w3.org/2001/XMLSchema#date;1;0;0
firstPublicationDate;http://www.w3.org/2001/XMLSchema#date;1951;0.4;http://www.w3.org/2001/XMLSchema#date;1;0;0
firstPublicationDate;http://www.w3.org/2001/XMLSchema#date;1951;0.3;http://www.w3.org/2001/XMLSchema#date;1;0;0
firstPublicationDate;http://www.w3.org/2001/XMLSchema#date;1951;0.2;http://www.w3.org/2001/XMLSchema#date;1;0;0
firstPublicationDate;http://www.w3.org/2001/XMLSchema#date;1951;0.1;http://www.w3.org/2001/XMLSchema#date;1;0;0
sixthFormStudents;http://www.w3.org/2001/XMLSchema#string;14;1.0;http://www.w3.org/2001/XMLSchema#string;1;0;0
sixthFormStudents;http://www.w3.org/2001/XMLSchema#string;14;0.9;http://www.w3.org/2001/XMLSchema#string;1;0;0
sixthFormStudents;http://www.w3.org/2001/XMLSchema#string;14;0.8;http://www.w3.org/2001/XMLSchema#string;1;0;0
sixthFormStudents;http://www.w3.org/2001/XMLSchema#string;14;0.7;http://www.w3.org/2001/XMLSchema#string;1;0;0
sixthFormStudents;http://www.w3.org/2001/XMLSchema#string;14;0.6;http://www.w3.org/2001/XMLSchema#string;1;0;0
sixthFormStudents;http://www.w3.org/2001/XMLSchema#string;14;0.5;http://www.w3.org/2001/XMLSchema#string;1;0;0
sixthFormStudents;http://www.w3.org/2001/XMLSchema#string;14;0.4;http://www.w3.org/2001/XMLSchema#string;1;0;0
sixthFormStudents;http://www.w3.org/2001/XMLSchema#string;14;0.3;http://www.w3.org/2001/XMLSchema#string;1;0;0
sixthFormStudents;http://www.w3.org/2001/XMLSchema#string;14;0.2;http://www.w3.org/2001/XMLSchema#string;1;0;0
sixthFormStudents;http://www.w3.org/2001/XMLSchema#string;14;0.1;http://www.w3.org/2001/XMLSchema#string;1;0;0
refseqmrna;http://www.w3.org/2001/XMLSchema#string;92;1.0;http://www.w3.org/2001/XMLSchema#string;1;0;0
refseqmrna;http://www.w3.org/2001/XMLSchema#string;92;0.9;http://www.w3.org/2001/XMLSchema#string;1;0;0
refseqmrna;http://www.w3.org/2001/XMLSchema#string;92;0.8;http://www.w3.org/2001/XMLSchema#string;1;0;0
refseqmrna;http://www.w3.org/2001/XMLSchema#string;92;0.7;http://www.w3.org/2001/XMLSchema#string;1;0;0
refseqmrna;http://www.w3.org/2001/XMLSchema#string;92;0.6;http://www.w3.org/2001/XMLSchema#string;1;0;0
refseqmrna;http://www.w3.org/2001/XMLSchema#string;92;0.5;http://www.w3.org/2001/XMLSchema#string;1;0;0
refseqmrna;http://www.w3.org/2001/XMLSchema#string;92;0.4;http://www.w3.org/2001/XMLSchema#string;1;0;0
refseqmrna;http://www.w3.org/2001/XMLSchema#string;92;0.3;http://www.w3.org/2001/XMLSchema#string;1;0;0
refseqmrna;http://www.w3.org/2001/XMLSchema#string;92;0.2;http://www.w3.org/2001/XMLSchema#string;1;0;0
refseqmrna;http://www.w3.org/2001/XMLSchema#string;92;0.1;http://www.w3.org/2001/XMLSchema#string;1;0;0
rgbCoordinateBlue;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1077;1.0;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
rgbCoordinateBlue;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1077;0.9;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
rgbCoordinateBlue;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1077;0.8;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
rgbCoordinateBlue;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1077;0.7;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
rgbCoordinateBlue;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1077;0.6;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
rgbCoordinateBlue;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1077;0.5;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
rgbCoordinateBlue;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1077;0.4;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
rgbCoordinateBlue;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1077;0.3;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
rgbCoordinateBlue;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1077;0.2;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
rgbCoordinateBlue;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1077;0.1;http://www.w3.org/2001/XMLSchema#nonNegativeInteger;1;0;0
MeanOfTransportation--weight;http://dbpedia.org/datatype/kilogram;3090;1.0;http://dbpedia.org/datatype/kilogram;1;0;0
MeanOfTransportation--weight;http://dbpedia.org/datatype/kilogram;3090;0.9;http://dbpedia.org/datatype/kilogram;1;0;0
MeanOfTransportation--weight;http://dbpedia.org/datatype/kilogram;3090;0.8;http://dbpedia.org/datatype/kilogram;1;0;0
MeanOfTransportation--weight;http://dbpedia.org/datatype/kilogram;3090;0.7;http://dbpedia.org/datatype/kilogram;1;0;0
MeanOfTransportation--weight;http://dbpedia.org/datatype/kilogram;3090;0.6;http://dbpedia.org/datatype/kilogram;1;0;0
MeanOfTransportation--weight;http://dbpedia.org/datatype/kilogram;3090;0.5;http://dbpedia.org/datatype/kilogram;1;0;0
MeanOfTransportation--weight;http://dbpedia.org/datatype/kilogram;3090;0.4;http://dbpedia.org/datatype/kilogram;1;0;0
MeanOfTransportation--weight;http://dbpedia.org/datatype/kilogram;3090;0.3;http://dbpedia.org/datatype/kilogram;1;0;0
MeanOfTransportation--weight;http://dbpedia.org/datatype/kilogram;3090;0.2;http://dbpedia.org/datatype/kilogram;1;0;0
MeanOfTransportation--weight;http://dbpedia.org/datatype/kilogram;3090;0.1;http://dbpedia.org/datatype/kilogram;1;0;0
icdo;http://www.w3.org/2001/XMLSchema#string;181;1.0;http://www.w3.org/2001/XMLSchema#string;1;0;0
icdo;http://www.w3.org/2001/XMLSchema#string;181;0.9;http://www.w3.org/2001/XMLSchema#string;1;0;0
icdo;http://www.w3.org/2001/XMLSchema#string;181;0.8;http://www.w3.org/2001/XMLSchema#string;1;0;0
icdo;http://www.w3.org/2001/XMLSchema#string;181;0.7;http://www.w3.org/2001/XMLSchema#string;1;0;0
icdo;http://www.w3.org/2001/XMLSchema#string;181;0.6;http://www.w3.org/2001/XMLSchema#string;1;0;0
icdo;http://www.w3.org/2001/XMLSchema#string;181;0.5;http://www.w3.org/2001/XMLSchema#string;1;0;0
icdo;http://www.w3.org/2001/XMLSchema#string;181;0.4;http://www.w3.org/2001/XMLSchema#string;1;0;0
icdo;http://www.w3.org/2001/XMLSchema#string;181;0.3;http://www.w3.org/2001/XMLSchema#string;1;0;0
icdo;http://www.w3.org/2001/XMLSchema#string;181;0.2;http://www.w3.org/2001/XMLSchema#string;1;0;0
icdo;http://www.w3.org/2001/XMLSchema#string;181;0.1;http://www.w3.org/2001/XMLSchema#string;1;0;0
